0,CAP loaded,FF 9000
220,CAP loaded,SCARD_E_NOT_TRANSACTED
221,CAP loaded,SCARD_E_NOT_TRANSACTED
222,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
223,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
224,Applet loading failed. Are you sure the card can handle it? LOAD failed: 0x6A80 (Wrong data/incorrect values in data),
225,CAP loaded,6F00
226,CAP loaded,SCARD_E_NOT_TRANSACTED
227,CAP loaded,SCARD_E_NOT_TRANSACTED
228,CAP loaded,SCARD_E_NOT_TRANSACTED
229,CAP loaded,6F00
230,CAP loaded,3D 9000
231,CAP loaded,6F00
232,CAP loaded,6F00
233,CAP loaded,6F00
234,CAP loaded,6F00
235,CAP loaded,6F00
236,STRICT WARNING: Card cryptogram invalid! Card: 259347A284E99D58 Host: 7305710F8472E589 !!! DO NOT RE-TRY THE SAME COMMAND/KEYS OR YOU MAY BRICK YOUR CARD !!!,
237,STRICT WARNING: Card cryptogram invalid! Card: 324D64ACA2F6FD63 Host: CB29C0B4945AB6F6 !!! DO NOT RE-TRY THE SAME COMMAND/KEYS OR YOU MAY BRICK YOUR CARD !!!,
238,STRICT WARNING: Card cryptogram invalid! Card: 021894C9FA31BDE6 Host: 0DC50D92C4E5845F !!! DO NOT RE-TRY THE SAME COMMAND/KEYS OR YOU MAY BRICK YOUR CARD !!!,
239,STRICT WARNING: Card cryptogram invalid! Card: 09BAF4367A969357 Host: 39DCF910E5804C5A !!! DO NOT RE-TRY THE SAME COMMAND/KEYS OR YOU MAY BRICK YOUR CARD !!!,
240,STRICT WARNING: Card cryptogram invalid! Card: 0AC9E12A22384FF1 Host: DFAEFA48D68BE564 !!! DO NOT RE-TRY THE SAME COMMAND/KEYS OR YOU MAY BRICK YOUR CARD !!!,
